Name,Year,HR,Steals,Strikeouts,Walks,bWAR,Power-Speed,Group,Notes
Mike Trout,2012,30,49,139,67,10.8,37.21518987,Blue,*
Bryce Harper,2015,42,6,131,124,9.9,10.5,Green,
Josh Donaldson,2015,41,6,133,73,8.8,10.46808511,Green,
Paul Goldschmidt,2015,33,21,151,118,8.8,25.66666667,Blue,
Josh Hamilton,2010,32,8,95,43,8.7,12.8,Other,
Ben Zobrist,2011,20,19,128,77,8.7,19.48717949,Purple,
Carlos Gomez,2013,24,40,146,37,8.5,30,Blue,*
Robinson Cano,2012,33,3,96,61,8.4,5.5,Other,
Matt Kemp,2011,39,40,159,74,8.2,39.49367089,Blue,*
Jose Bautista,2011,43,9,111,132,8.1,14.88461538,Green,
Jacoby Ellsbury,2011,32,39,98,52,8.1,35.15492958,Blue,*
Evan Longoria,2010,22,15,124,72,8.1,17.83783784,Purple,*
Andrew McCutchen,2013,21,27,101,78,8.1,23.625,Other,*
Dustin Pedroia,2011,21,26,85,86,7.9,23.23404255,Other,*
Ryan Braun,2011,33,33,93,58,7.8,33,Blue,
Adrian Beltre,2010,28,2,82,49,7.8,3.733333333,Other,
Joey Votto,2015,29,11,135,143,7.6,15.95,Other,
Albert Pujols,2010,42,14,76,103,7.5,21,Green,
AJ Pollock,2015,20,39,89,53,7.4,26.44067797,Other,
Miguel Cabrera,2013,44,3,94,90,7.3,5.617021277,Green,Did not use best WAR since 2010 - but all are so close to each other
Buster Posey,2012,24,1,96,69,7.3,1.92,Other,
Kevin Kiermaier,2015,10,18,95,24,7.3,12.85714286,Purple,
Brett Gardner,2010,5,47,101,79,7.3,9.038461538,Red,
Alex Gordon,2011,23,17,139,67,7.2,19.55,Purple,*
Lorenzo Cain,2015,16,28,98,37,7.2,20.36363636,Other,
Manny Machado,2015,35,20,111,70,7.1,25.45454545,Other,
Ian Kinsler,2011,32,30,71,89,7.1,30.96774194,Blue,*
David Wright,2012,21,15,112,81,7,17.5,Purple,
Carl Crawford,2010,19,47,99,51,7,27.06060606,Other,
Andrelton Simmons,2013,17,6,55,40,7,8.869565217,Purple,
Yadier Molina,2012,22,12,55,45,6.9,15.52941176,Purple,*
Michael Brantley,2014,20,23,56,52,6.8,21.39534884,Purple,
Troy Tulowitzki,2010,27,11,78,48,6.7,15.63157895,Other,
Jonathan Lucroy,2014,13,4,71,66,6.7,6.117647059,Purple,
Anthony Rendon,2014,21,17,104,58,6.6,18.78947368,Purple,
Chris Davis,2013,53,4,199,72,6.5,7.438596491,Green,
Giancarlo Stanton,2014,37,13,170,94,6.5,19.24,Green,*
Jason Heyward,2015,13,23,90,56,6.5,16.61111111,Purple,-
Michael Bourn,2012,9,42,155,70,6.1,14.82352941,Red,*
Jose Altuve,2014,7,56,53,36,6.1,12.44444444,Red,
Nolan Arenado,2015,42,2,110,34,5.8,3.818181818,Green,
Curtis Granderson,2011,41,25,169,85,5.7,31.06060606,Other,
Jose Abreu,2014,36,3,131,51,5.5,5.538461538,Green,
Nelson Cruz,2015,44,3,164,59,5.2,5.617021277,Green,
Edwin Encarnacion,2012,42,13,94,84,5,19.85454545,Green,*
Dee Gordon,2015,4,58,91,25,4.9,7.483870968,Red,
Paul Konerko,2010,39,0,110,72,4.7,0,Green,
Prince Fielder,2011,38,1,106,107,4.6,1.948717949,Green,
Elvis Andrus,2013,4,42,97,52,4.3,7.304347826,Red,
Jean Segura,2013,12,44,67,21,4,18.85714286,Red,
Mark Texiera,2015,31,2,85,59,3.8,3.757575758,Other,
Pedro Alvarez,2013,36,2,186,48,3.3,3.789473684,Green,
Coco Crisp,2011,8,49,65,41,2.7,13.75438596,Red,
Billy Hamilton,2014,6,56,117,34,2.5,10.83870968,Red,
Adam Dunn,2010,38,0,199,77,2.4,0,Green,
Charlie Blackmon,2015,17,43,112,46,2.4,24.36666667,Other,
Chris Carter,2014,37,5,182,56,2,8.80952381,Green,
Rajai Davis,2013,6,45,67,21,1.8,10.58823529,Red,
Everth Cabrera,2012,2,44,110,43,1.8,3.826086957,Red,
Eric Young Jr. ,2013,2,46,100,46,0.9,3.833333333,Red,
Ben Revere,2014,2,49,49,13,0.7,3.843137255,Red,
Juan Pierre,2010,1,68,47,45,0.2,1.971014493,Red,
